"A1BG" "A1CF" "A2M" "A2ML1" "A4GALT" "A4GNT" "AAAS" "AACS" "AADAC" "AADACL2" "AADACL3" "AADACL4" "AADAT" "AAGAB" "AAK1" "AAMP" "AANAT" "AARS" "AARS2" "AARSD1" "AASDH" "AASDHPPT" "AASS" "AATF" "AATK" "ABAT" "ABCA1" "ABCA10" "ABCA12" "ABCA13" "ABCA3" "ABCA4" "ABCA5" "ABCA6" "ABCA7" "ABCA8" "ABCA9" "ABCB1" "ABCB10" "ABCB11" "ABCB4" "ABCB5" "ABCB6" "ABCB7" "ABCB8" "ABCB9" "ABCC10" "ABCC11" "ABCC12" "ABCC2" "ABCC3" "ABCC4" "ABCC8" "ABCC9" "ABCD1" "ABCD2" "ABCD3" "ABCD4" "ABCE1" "ABCF1" "ABCF2" "ABCF3" "ABCG1" "ABCG2" "ABCG4" "ABCG5" "ABCG8" "ABHD1" "ABHD10" "ABHD11" "ABHD12" "ABHD12B" "ABHD13" "ABHD14A" "ABHD14B" "ABHD15" "ABHD2" "ABHD3" "ABHD5" "ABHD6" "ABHD8" "ABI1" "ABI2" "ABI3" "ABI3BP" "ABL1" "ABL2" "ABLIM1" "ABLIM2" "ABLIM3" "ABO" "ABR" "ABRA" "ABT1" "ABTB1" "ABTB2" "ACAA1" "ACAA2" "ACACA" "ACACB"
"lminalA.10" " 0.0704" " 0.0134" " 0.0476" " 0.0476" "-0.2561" " 0.0335" " 0.0515" " 0.0573" " 0.0018" " 0.0018" "-0.2577" "-0.2577" "-0.0026" "-0.2870" " 0.0222" " 0.0131" " 0.0655" "-0.2870" " 0.0384" " 0.0655" " 0.0012" " 0.0101" " 0.0056" " 0.0655" " 0.0655" " 0.0781" " 0.0395" " 0.0655" "-0.0034" " 0.0313" " 0.0781" "-0.3171" " 0.0655" " 0.0655" " 0.0704" " 0.0655" " 0.0655" " 0.0026" " 0.3101" "-0.0034" " 0.0026" " 0.0313" " 0.0131" " 0.0124" " 0.0360" " 0.0573" " 0.0384" "-0.2870" "-0.2870" " 0.0287" " 0.0655" " 0.0138" " 0.0340" " 0.0224" " 0.0124" " 0.0224" "-0.3171" " 0.0321" "-0.0026" " 0.0384" " 0.0360" " 0.0351" " 0.0634" " 0.0012" " 0.0426" " 0.0222" " 0.0222" " 0.0222" " 0.0085" " 0.0537" " 0.0384" " 0.0321" " 0.0138" " 0.0263" " 0.0263" " 0.0655" "-0.2870" "-0.3098" " 0.0263" " 0.0263" " 0.0704" " 0.0371" "-0.0034" " 0.0655" " 0.0085" " 0.0733" " 0.3086" " 0.0490" " 0.0590" " 0.2907" " 0.0733" "-0.2649" " 0.0153" " 0.0384" " 0.0335" " 0.0187" " 0.0263" "-0.3098" " 0.0655" " 0.0573"
"lminalA.11" " 0.3689" " 0.0311" " 0.4437" " 0.3707" "-0.4152" "-0.0216" " 0.3317" " 0.4306" "-0.0216" "-0.0216" "-0.0721" "-0.0721" " 0.0055" "-0.0588" "-0.2522" "-0.2522" " 0.1593" "-0.3715" "-0.0803" " 0.1651" "-0.0078" " 0.2361" " 0.0500" " 0.1651" " 0.1593" " 0.9132" "-0.3482" " 0.2385" "-0.2522" " 0.0433" " 0.8478" "-0.0129" " 0.2385" " 0.2385" " 0.3563" " 0.2385" " 0.2385" " 0.0417" "-0.0260" "-0.2522" " 0.0417" " 0.0426" "-0.2522" " 0.0213" " 0.0286" " 0.3502" "-0.0803" "-0.3605" " 0.3165" " 0.0145" " 0.1651" "-0.2772" " 0.2334" " 0.4437" "-0.0239" " 0.4437" "-0.0129" "-0.4073" " 0.0055" "-0.0778" " 0.0286" "-0.0216" "-0.3753" " 0.0055" " 0.1645" "-0.2522" "-0.2522" "-0.2522" "-0.0216" "-0.0677" " 0.5786" "-0.3346" "-0.2772" "-0.0639" "-0.0639" " 0.1734" "-0.0750" "-0.2880" "-0.0220" "-0.0101" " 0.3550" " 0.0137" "-0.2522" " 0.1651" "-0.0216" "-0.4078" "-0.0260" " 0.0287" "-0.0078" " 0.2387" "-0.4078" " 0.1095" " 0.7946" "-0.0394" "-0.0216" " 0.2334" "-0.0220" "-0.2814" " 0.1651" " 0.3831"
"lminalA.12" " 0.0239" " 0.0300" " 0.0313" " 0.0313" "-0.4592" " 0.0327" " 0.0313" " 0.0313" " 0.0327" " 0.0327" " 0.0285" " 0.0285" " 0.0305" " 0.0274" " 0.0284" " 0.0284" " 0.3643" "-0.4376" " 0.0306" " 0.0292" " 0.0305" "-0.4279" " 0.0300" " 0.0292" " 0.3643" " 0.6065" " 0.0303" " 0.3643" " 0.0284" " 0.0300" " 0.6065" "-0.0038" " 0.3643" " 0.3643" " 0.0239" " 0.3643" " 0.3643" " 0.0300" " 0.0288" " 0.0284" " 0.0300" " 0.0300" " 0.0284" " 0.0117" " 0.0300" " 0.0313" " 0.0306" " 1.7653" " 1.7653" " 0.0300" " 0.0292" " 1.5780" " 0.0339" " 0.0313" " 0.0074" " 0.0313" "-0.0038" " 0.0297" " 0.0305" " 0.0306" " 0.0300" " 0.0327" "-0.4344" " 0.0305" "-0.4279" " 0.0284" " 0.0284" " 0.0284" " 0.0327" " 0.0300" " 0.0338" " 0.0297" "-0.4548" " 0.0327" " 0.0327" " 0.0292" " 0.0361" " 0.0349" " 0.0327" " 0.0327" " 0.0239" " 0.0300" " 0.0284" " 0.0292" " 0.0327" " 0.0303" " 0.0288" " 0.0300" " 0.0305" " 0.0314" " 0.0303" "-0.4485" " 0.0313" " 0.0306" " 0.0327" " 0.0339" " 0.0327" " 0.0349" " 0.0292" " 0.0313"
"lminalA.13" "-0.1384" "-0.4134" " 0.0680" " 0.0680" " 0.1284" " 0.1447" " 0.0680" "-0.4369" " 0.1447" " 0.1447" "-0.1238" "-0.1238" "-0.0857" "-0.0990" "-0.1858" "-0.0112" " 0.1309" " 0.1508" "-0.1286" " 0.1309" "-0.0857" " 0.1212" " 0.1323" " 0.1309" " 0.1309" " 0.1290" " 0.1268" " 0.1309" "-0.0112" " 0.1272" " 0.1290" "-0.0968" " 0.1309" " 0.1309" " 0.1045" " 0.1309" " 0.1309" " 0.1272" " 0.7658" "-0.0067" " 0.1272" " 0.1272" "-0.0112" "-0.1779" " 0.1269" "-0.4369" "-0.1286" " 0.1290" " 0.1290" "-0.4162" " 0.1309" "-0.4258" " 0.1305" " 0.0680" " 0.2590" " 0.0680" "-0.0968" "-0.4249" "-0.0857" "-0.1309" " 0.1269" " 0.1447" " 0.7737" "-0.0857" " 0.1212" "-0.1056" "-0.1056" "-0.1056" " 0.1447" " 0.1272" " 0.5037" "-0.4249" "-0.4258" " 0.1523" " 0.1523" " 0.1309" "-0.0990" "-0.4099" " 0.1523" " 0.1523" " 0.1045" " 0.1317" "-0.0112" " 0.1309" " 0.1595" " 0.1268" " 0.4693" "-0.4162" "-0.1290" " 0.1031" " 0.1268" "-0.4436" " 0.9987" "-0.1309" " 0.1447" " 0.1249" " 0.1434" "-0.4099" " 0.1309" " 0.0680"
"lminalA.14" "-0.0652" "-0.0695" "-0.0531" "-0.0531" "-0.5155" "-0.0468" " 0.2727" "-0.0779" "-0.0425" "-0.0425" " 0.1267" " 0.1267" "-0.0689" "-0.5144" "-0.0563" "-0.0516" " 0.3865" "-0.0606" "-0.0496" "-0.5268" "-0.0502" " 0.2742" " 0.2932" "-0.5268" " 0.3865" " 0.2837" " 0.2766" " 0.3865" "-0.0516" " 0.2840" " 0.2837" " 0.1073" " 0.3865" " 0.3865" "-0.0798" " 0.3865" " 0.3865" " 0.2932" " 0.5500" "-0.0516" " 0.2932" " 0.2840" "-0.0516" "-0.2608" " 0.2932" "-0.0779" "-0.0496" " 0.2837" " 0.2837" "-0.0664" " 0.3865" "-0.5267" "-0.0570" "-0.0531" " 0.2560" " 0.2727" " 0.1073" "-0.5337" "-0.0448" "-0.0551" " 0.2932" "-0.0425" "-0.0569" "-0.0502" "-0.0605" "-0.0659" "-0.0659" "-0.0659" "-0.0458" " 0.2454" " 0.2802" " 0.2860" "-0.5267" "-0.5209" "-0.5209" "-0.5268" "-0.5144" "-0.0543" "-0.5209" "-0.5209" "-0.0652" " 0.2748" "-0.0516" " 0.3865" "-0.0458" "-0.0588" " 0.5337" "-0.0664" "-0.0585" " 0.1142" "-0.0588" "-0.5268" " 0.2943" "-0.0551" "-0.0458" "-0.0570" "-0.5209" "-0.0541" "-0.5268" "-0.0795"
"lminalA.15" " 0.0807" " 0.0876" " 0.0834" " 0.0834" "-0.0883" " 0.0869" " 0.0834" " 0.0834" " 0.0869" " 0.0869" "-0.3349" "-0.3349" " 0.0821" " 0.0691" " 0.0786" " 0.0786" " 0.0903" "-0.3360" "-0.3425" " 0.0909" " 0.0821" "-0.3333" " 0.0831" " 0.0909" " 0.0903" " 0.0909" " 0.0881" " 0.0903" " 0.0786" " 0.0831" " 0.0909" "-0.3349" " 0.0903" " 0.0903" " 0.0817" " 0.0903" " 0.0903" " 0.0831" " 0.4466" " 0.0786" " 0.0831" " 0.0831" " 0.0786" " 0.0128" " 0.0831" " 0.0834" "-0.3425" "-0.3360" "-0.3360" " 0.0876" " 0.0909" "-0.3441" " 0.1469" " 0.0834" " 0.0128" " 0.0834" "-0.3349" " 0.0779" " 0.0821" "-0.3425" " 0.0831" " 0.0869" " 0.1053" " 0.0821" "-0.3333" " 0.0786" " 0.0786" " 0.0786" " 0.0883" " 0.0831" " 0.0938" " 0.0735" " 0.0902" " 0.0883" " 0.0883" " 0.0909" " 0.0691" "-0.3300" " 0.0883" " 0.0883" " 0.0807" " 0.0876" " 0.0786" " 0.0909" " 0.0883" " 0.0881" " 0.4010" " 0.0876" " 0.1091" " 0.0880" " 0.0881" "-0.3340" " 0.0866" "-0.3425" " 0.0883" " 0.1515" " 0.0883" "-0.3300" " 0.0909" " 0.0834"
"lminalA.16" "-0.0369" "-0.0338" "-0.0357" "-0.0357" "-0.0311" "-0.0345" "-0.0357" "-0.0357" "-0.0345" "-0.0345" "-0.0326" "-0.0326" "-0.0359" "-0.0323" "-0.0297" "-0.0305" "-0.0319" "-0.5472" "-0.0356" "-0.0319" "-0.0314" "-0.0328" "-0.0335" "-0.0319" "-0.0319" " 0.6055" "-0.0341" "-0.0319" "-0.0305" "-0.0335" " 0.6055" "-0.0350" "-0.0319" "-0.0319" "-0.0306" "-0.0319" "-0.0319" "-0.0335" " 0.8139" "-0.0297" "-0.0335" "-0.0335" "-0.0305" " 0.0181" "-0.0335" "-0.0357" "-0.0356" "-0.5472" "-0.5472" "-0.0292" "-0.0319" "-0.0306" "-0.0328" "-0.0357" " 0.0181" "-0.0357" "-0.0350" "-0.0260" "-0.0359" "-0.0408" "-0.0335" "-0.0345" "-0.0251" "-0.0334" "-0.0328" "-0.0387" "-0.0387" "-0.0329" "-0.0345" "-0.0335" "-0.0333" "-0.0292" "-0.0306" "-0.0345" "-0.0345" "-0.0319" "-0.0323" "-0.0283" "-0.0345" "-0.0345" "-0.0306" "-0.0383" "-0.0305" "-0.0319" "-0.0345" "-0.0331" " 0.8089" "-0.0292" "-0.0314" "-0.0351" "-0.0331" "-0.0319" " 0.3301" "-0.0408" "-0.0345" "-0.0328" "-0.0345" "-0.0283" "-0.0319" "-0.0357"
"lminalA.17" "-0.2262" " 0.3775" "-0.3111" "-0.3111" "-0.2096" " 0.1394" " 0.3102" " 0.3473" " 0.1167" " 0.1167" "-0.2643" "-0.2643" "-0.1545" "-0.2920" "-0.0515" "-0.0663" " 0.0997" "-0.2642" "-0.3258" " 0.1059" "-0.1401" "-0.2315" "-0.3247" " 0.1059" " 0.1026" " 0.1573" "-0.0112" " 0.0647" "-0.0663" " 0.0612" " 0.1573" " 0.0622" " 0.0647" " 0.0647" "-0.2353" " 0.0647" " 0.0647" " 0.0225" " 0.2511" "-0.0720" " 0.0225" " 0.0349" "-0.0663" " 0.0041" "-0.3247" " 0.3473" "-0.3258" "-0.2925" "-0.2925" " 0.0703" " 0.0998" " 0.0966" " 0.0489" " 0.0544" "-0.0287" " 0.2753" " 0.0622" "-0.0392" "-0.1517" " 0.0959" "-0.3247" " 0.1439" "-0.0096" "-0.1496" "-0.2315" "-0.0515" "-0.0515" "-0.0515" " 0.1119" " 0.1218" " 0.1327" "-0.0713" " 0.0966" " 0.1543" " 0.1543" " 0.2151" "-0.3049" " 0.1093" " 0.1543" " 0.1543" "-0.2353" " 0.0731" "-0.0720" " 0.0998" " 0.1119" " 0.0346" " 0.6105" " 0.0685" "-0.1059" " 0.1352" " 0.0346" "-0.1730" " 0.9640" " 0.0715" " 0.1394" " 0.0252" " 0.1247" "-0.1753" " 0.1059" " 0.3378"
"lminalA.18" "-0.0325" " 0.0059" " 0.0068" " 0.0068" "-0.0074" " 0.0110" " 0.0068" " 0.0005" " 0.0110" " 0.0110" "-0.0137" "-0.0137" " 0.0111" " 0.0037" " 0.0068" " 0.0068" " 0.3758" "-0.6606" " 0.0065" " 0.3699" " 0.0111" "-0.6587" " 0.0098" " 0.3699" " 0.3758" " 0.4236" " 0.0062" " 0.4099" " 0.0068" " 0.0098" " 0.3652" " 0.0097" " 0.4099" " 0.4099" "-0.0413" " 0.4099" " 0.4099" " 0.0098" " 0.4124" " 0.0068" " 0.0098" " 0.0098" " 0.0068" " 0.0016" " 0.0098" " 0.0005" " 0.0065" "-0.6606" "-0.6606" " 0.0059" " 0.3699" "-0.0468" "-0.0464" " 0.0068" " 0.0016" " 0.0068" " 0.0097" " 0.0072" " 0.0111" "-0.0356" " 0.0098" " 0.0110" " 0.0041" " 0.0111" "-0.6730" " 0.0093" " 0.0093" " 0.0093" " 0.0110" " 0.0098" " 0.0014" " 0.0072" "-0.0468" " 0.0110" " 0.0110" " 0.3719" " 0.0037" " 0.0189" " 0.0110" " 0.0110" "-0.0413" "-0.0034" " 0.0068" " 0.3699" " 0.0110" " 0.0062" " 0.4124" " 0.0059" " 0.0160" " 0.0156" " 0.0062" "-0.6873" " 0.0338" "-0.0356" " 0.0110" "-0.0464" " 0.0110" " 0.0189" " 0.3699" " 0.0005"
"lminalA.19" "-0.0203" "-0.0208" "-0.0439" "-0.0439" "-0.4043" "-0.0208" "-0.0238" "-0.0238" "-0.0208" "-0.0208" "-0.0209" "-0.0209" "-0.0218" "-0.0216" "-0.0228" "-0.0231" "-0.0226" "-0.4114" "-0.0253" "-0.0226" "-0.0209" "-0.0042" "-0.0242" "-0.0226" "-0.0226" " 0.2725" "-0.0238" "-0.0226" "-0.0231" "-0.0242" " 0.2793" "-0.0243" "-0.0226" "-0.0226" "-0.0203" "-0.0226" "-0.0226" "-0.0242" " 0.8180" "-0.0231" "-0.0242" "-0.0242" "-0.0231" " 0.0080" "-0.0242" "-0.0238" "-0.0253" "-0.4114" "-0.4114" "-0.0208" "-0.0226" "-0.0198" "-0.0173" "-0.0238" " 0.0080" "-0.0238" "-0.0243" "-0.0271" "-0.0216" "-0.0253" "-0.0242" "-0.0208" "-0.0180" "-0.0209" "-0.0042" "-0.0228" "-0.0228" "-0.0228" "-0.0208" "-0.0242" " 0.2712" "-0.0271" "-0.0198" "-0.0208" "-0.0208" "-0.0176" "-0.0216" "-0.0176" "-0.0208" "-0.0208" "-0.0203" "-0.0208" "-0.0231" "-0.0226" "-0.0208" "-0.0238" " 0.8180" "-0.0208" "-0.0209" "-0.0243" "-0.0238" "-0.0176" "-0.0286" "-0.0726" "-0.0208" "-0.0223" "-0.0208" "-0.0176" "-0.0226" "-0.0238"
"lminalA.20" " 0.0774" " 0.0640" "-0.6343" "-0.6343" "-0.5597" " 0.0610" " 0.0643" " 0.0808" " 0.0298" " 0.0298" "-0.4708" "-0.4708" " 0.0302" " 0.0708" " 0.0465" " 0.0689" " 0.0935" "-0.5789" " 0.0705" " 0.0692" " 0.0302" "-0.6444" " 0.0261" " 0.0692" " 0.0935" " 0.4921" " 0.0609" " 0.0692" " 0.0689" " 0.0520" " 0.4921" " 0.0465" " 0.0692" " 0.0692" " 0.0774" " 0.0692" " 0.0692" " 0.0335" "-0.5288" " 0.0466" " 0.0335" " 0.0520" " 0.0689" " 0.0068" " 0.0793" " 0.0808" " 0.0705" "-0.5784" "-0.5784" " 0.0814" " 0.0692" " 0.0443" " 0.0692" "-0.6343" " 0.0084" " 0.0364" " 0.0465" " 0.0579" " 0.0302" " 0.0705" " 0.0793" " 0.0298" " 0.0837" " 0.0302" "-0.5990" " 0.0465" " 0.0465" " 0.0465" " 0.0247" " 0.0520" " 0.0834" " 0.0579" " 0.0443" " 0.0610" " 0.0610" " 0.0692" " 0.0708" " 0.0708" " 0.0610" " 0.0610" " 0.0774" " 0.0580" " 0.0464" " 0.0692" " 0.0247" " 0.0609" " 0.3689" " 0.0768" " 0.0869" " 0.0382" " 0.0609" " 0.0867" " 0.0348" " 0.0400" " 0.0610" " 0.0627" " 0.0610" " 0.0606" " 0.0692" " 0.0808"
"lminalA.21" " 0.198100" "-0.009600" " 0.173900" " 0.173900" "-0.187400" " 0.011400" " 0.173900" "-0.001300" " 0.011400" " 0.011400" "-0.238000" "-0.238000" "-0.020100" "-0.016300" "-0.197600" "-0.231100" " 0.034900" "-0.554700" "-0.003500" " 0.001300" "-0.026000" "-0.032300" "-0.017300" " 0.001300" " 0.034900" " 0.378000" "-0.259100" "-0.005700" "-0.231100" " 0.080675" " 0.378000" "-0.264900" "-0.005700" "-0.005700" "-0.222700" "-0.005700" "-0.005700" "-0.026000" " 0.417900" "-0.231100" "-0.026000" " 0.170400" "-0.231100" " 0.046600" "-0.010600" "-0.001300" "-0.003500" " 0.007100" " 0.007100" "-0.012200" " 0.001300" "-0.032400" "-0.024800" " 0.173900" " 0.046600" " 0.173900" "-0.264900" " 0.156100" "-0.020100" "-0.003500" "-0.010600" " 0.008200" "-0.079400" " 0.183400" " 0.000600" "-0.197600" "-0.197600" " 0.099100" " 0.002100" "-0.021700" " 0.249200" " 0.223500" "-0.032400" " 0.022600" " 0.022600" " 0.193500" "-0.016300" " 0.002000" " 0.022600" " 0.022600" " 0.189700" "-0.021200" "-0.231100" " 0.001300" " 0.002100" "-0.230100" " 0.310100" "-0.012200" "-0.227500" "-0.246800" "-0.230100" "-0.233800" " 1.050800" "-0.003500" " 0.038200" "-0.024800" " 0.022600" "-0.237800" " 0.001300" "-0.001300"
"lminalA.22" " 0.0072" " 0.0195" " 0.0149" " 0.0149" " 0.0146" " 0.0203" " 0.0172" " 0.0183" " 0.0203" " 0.0203" "-0.3539" "-0.3539" " 0.0220" " 0.0177" " 0.0213" " 0.0213" " 0.0119" " 0.0180" " 0.0183" " 0.0119" " 0.0220" "-0.3363" " 0.0188" " 0.0119" " 0.0119" " 0.0180" " 0.2876" " 0.0119" " 0.0213" " 0.0188" " 0.0180" " 0.2903" " 0.0119" " 0.0119" " 0.0072" " 0.0119" " 0.0119" " 0.0188" " 0.2903" " 0.0213" " 0.0188" " 0.0188" " 0.0213" " 0.0160" " 0.0188" " 0.0183" " 0.0183" " 0.0180" " 0.0180" " 0.0182" " 0.0119" "-0.3377" " 0.3392" " 0.0149" " 0.0160" " 0.0149" " 0.2903" " 0.0194" " 0.0220" " 0.0183" " 0.0188" " 0.0203" " 0.0241" " 0.0220" "-0.3363" " 0.0213" " 0.0213" " 0.0213" " 0.0203" " 0.0188" " 0.0211" " 0.0194" "-0.3377" " 0.0126" " 0.0126" " 0.0119" " 0.0205" "-0.2410" " 0.0126" " 0.0126" " 0.0072" " 0.0195" " 0.0213" " 0.0119" " 0.0203" " 0.2939" " 0.2903" " 0.0182" " 0.0220" " 0.0191" " 0.2939" " 0.0119" " 0.0210" " 0.0183" " 0.0203" " 0.0244" " 0.0126" "-0.2410" " 0.0119" " 0.0172"
"lminalA.23" "-0.585800" "-0.318000" "-0.068900" "-0.068900" "-0.069500" "-0.072900" "-0.052500" "-0.071900" "-0.072900" "-0.072900" "-0.292700" "-0.292700" "-0.599200" "-0.284400" " 0.367200" "-0.181100" "-0.067300" "-0.090700" " 1.351500" "-0.299300" "-0.249700" " 0.121200" " 0.114300" " 0.619600" "-0.067300" " 0.123800" "-0.081200" "-0.299300" "-0.181100" " 0.494400" " 0.123800" "-0.313800" "-0.183300" "-0.299300" "-0.250500" "-0.299300" "-0.299300" " 0.114300" " 0.315200" "-0.181100" " 0.114300" " 0.494400" "-0.181100" "-0.001600" " 0.155200" "-0.071900" " 1.351500" "-0.334700" "-0.334700" "-0.590200" "-0.299300" " 0.113500" "-0.307900" "-0.068900" "-0.001600" "-0.068900" "-0.313800" "-0.314300" "-0.244800" " 0.145100" " 0.155200" "-0.072900" " 0.264500" "-0.244800" " 0.121200" " 0.488400" " 0.488400" " 0.488400" "-0.072900" " 0.114300" " 0.095400" "-0.314300" " 0.113500" "-0.072900" "-0.072900" "-0.291700" "-0.284400" " 0.294300" "-0.072900" "-0.072900" " 0.117800" " 0.481700" "-0.181100" "-0.299300" "-0.072900" "-0.053900" " 0.348600" "-0.606500" "-0.593700" "-0.611000" "-0.053900" " 0.071700" " 0.632700" " 0.145100" "-0.072900" "-0.300100" "-0.072900" " 0.295000" " 0.654775" "-0.071900"
"lminalA.24" " 0.0219" " 0.0222" " 0.0228" " 0.0228" " 0.0202" " 0.0176" " 0.0228" " 0.0228" " 0.0176" " 0.0176" " 0.0217" " 0.0217" " 0.0193" " 0.0230" " 0.0201" " 0.0201" " 0.0259" "-0.2363" " 0.0215" "-0.2341" " 0.0213" " 0.0243" " 0.0222" "-0.2341" " 0.0259" " 0.0231" " 0.0201" " 0.0269" " 0.0201" " 0.0221" " 0.0231" "-0.1508" " 0.0269" " 0.0269" " 0.0219" " 0.0269" " 0.0269" " 0.0222" " 0.2336" " 0.0201" " 0.0222" " 0.0232" " 0.0201" " 0.0083" " 0.0222" " 0.0228" " 0.0215" "-0.2337" "-0.2337" " 0.0222" " 0.0207" "-0.2418" " 0.0243" " 0.0228" " 0.0083" " 0.0228" " 0.0208" " 0.0220" " 0.0213" " 0.0215" " 0.0222" " 0.0176" " 0.0304" " 0.0213" " 0.0243" " 0.0201" " 0.0201" " 0.0201" " 0.0176" " 0.0222" " 0.0236" " 0.0227" "-0.2418" "-0.0989" "-0.0989" "-0.2341" " 0.0275" "-0.0933" "-0.2283" "-0.0989" " 0.0219" " 0.0222" " 0.0201" " 0.0207" " 0.0176" " 0.0201" " 0.2336" " 0.0222" " 0.0213" " 0.0204" " 0.0201" "-0.2388" " 0.0202" " 0.0215" " 0.0176" " 0.0243" " 0.0193" "-0.0933" "-0.2341" " 0.0228"
"lminalA.25" "-0.1683" " 0.0294" " 0.0130" " 0.0130" "-0.1828" " 0.0609" " 0.2359" "-0.2094" " 0.0466" " 0.0466" " 0.0378" " 0.0378" " 0.2318" " 0.0617" " 0.0574" "-0.1727" " 0.2666" " 0.1019" " 0.2463" "-0.1937" " 0.2626" "-0.4257" "-0.2107" "-0.1937" " 0.2660" " 0.2981" "-0.1968" " 0.4306" "-0.1727" "-0.2095" " 0.2981" "-0.2244" " 0.4306" " 0.4306" "-0.1680" " 0.4306" " 0.4306" "-0.2199" " 0.3784" "-0.1912" "-0.2199" "-0.2095" "-0.1727" "-0.0505" "-0.2026" "-0.2094" " 0.2463" " 0.2981" " 0.2981" "-0.0041" " 0.4306" " 0.0355" "-0.4047" " 0.0130" " 0.2810" " 0.2123" "-0.2244" "-0.1729" " 0.2487" " 0.2551" "-0.2026" " 0.2695" "-0.1839" " 0.2421" "-0.4184" " 0.0588" " 0.0588" " 0.0588" " 0.0428" "-0.2095" " 0.4466" "-0.1849" "-0.5691" "-0.4961" "-0.4961" "-0.1937" " 0.0617" "-0.1802" "-0.4961" "-0.5270" "-0.1680" " 0.0596" "-0.1912" " 0.4306" " 0.0428" "-0.1703" " 0.3760" "-0.0014" " 0.2596" " 0.0446" "-0.1703" "-0.1937" " 1.1916" " 0.2428" " 0.0609" "-0.4289" "-0.5323" "-0.5174" "-0.1937" "-0.2094"
"lminalA.26" "-0.0017" " 0.0108" "-0.0068" "-0.0068" " 0.4977" "-0.0355" "-0.0068" "-0.0068" "-0.0355" "-0.0355" "-0.0014" "-0.0014" "-0.7647" "-0.0247" "-0.0163" "-0.8222" " 0.0448" "-0.8108" " 0.0136" " 0.0160" " 0.0183" "-0.8166" " 0.7110" " 0.0160" " 0.0448" " 0.0371" " 0.4558" " 0.0448" "-0.8222" " 0.7082" " 0.0371" " 0.5077" " 0.0448" " 0.0448" "-0.0005" " 0.0448" " 0.0448" " 0.6901" "-0.0007" " 0.4899" " 0.6901" " 0.7304" "-0.8222" "-0.0052" " 0.7219" "-0.0068" " 0.0136" "-0.7999" "-0.7999" "-0.0025" " 0.0160" "-0.8128" " 0.0055" "-0.0068" " 0.0366" "-0.0068" " 0.5077" "-0.8096" " 0.0233" " 0.0136" " 0.7219" "-0.0229" "-0.7645" "-0.8164" "-0.8166" "-0.0163" "-0.0163" "-0.0163" "-0.0291" " 0.6674" " 0.0003" " 0.0104" "-0.8558" "-0.0167" "-0.0167" " 0.0160" "-0.0247" " 0.4780" "-0.0167" "-0.0167" "-0.0017" "-0.0143" " 0.4330" " 0.0160" "-0.0291" " 0.4558" " 0.4779" "-0.8209" " 0.0412" " 0.0041" " 0.4558" "-0.8143" " 0.8301" " 0.0136" "-0.0355" " 0.0055" "-0.0167" " 0.4780" " 0.0160" "-0.0068"
"lminalA.27" "-0.233200" "-0.193200" " 0.159600" " 0.159600" "-0.230900" "-0.240100" " 0.392600" " 0.399200" " 0.132100" " 0.132100" "-0.217100" "-0.217100" " 0.183600" "-0.187100" "-0.188300" "-0.233700" " 0.361500" " 0.079500" " 0.106900" "-0.705300" "-0.153500" "-0.248600" "-0.621200" " 0.950300" " 0.377600" " 0.143000" "-0.204300" " 0.605400" "-0.177800" " 0.421600" " 0.102200" "-0.166000" " 0.605400" " 0.605400" "-0.233200" " 0.605400" " 0.605400" "-0.684700" " 0.403700" "-0.176300" "-0.684700" " 0.425600" "-0.233700" " 0.008800" "-0.658400" " 0.344000" " 0.106900" " 0.149400" " 0.149400" "-0.216400" " 1.460700" "-0.186400" " 0.609300" " 0.423200" "-0.053500" " 0.408700" "-0.166000" " 0.087400" " 0.179300" " 0.106400" "-0.658400" " 0.127400" "-0.320000" "-0.135000" "-0.280100" "-0.188300" "-0.188300" "-0.188300" "-0.232500" " 0.343300" "-0.663800" " 0.106000" "-0.186400" "-0.236200" "-0.236200" " 1.608500" " 0.140100" " 0.119700" " 0.105100" "-0.236200" "-0.233200" "-0.206700" "-0.177800" " 1.700700" "-0.228100" " 0.097200" "-0.679700" " 1.090300" "-0.346225" " 0.116800" " 0.097200" "-0.237400" " 0.988500" " 0.112500" "-0.232500" " 0.568400" " 0.135900" " 0.122900" "-0.705300" " 0.350900"
